,Unnamed: 0,회사,날짜,직무,재직여부,별점,요약,장점,단점,경영진에게 바라는 점
0,3610,삼성전자,2019-12-01,연구개발,현직원,5,나라 최고 의 기업 인 이유 를 느낄 는 곳,수평 인 문화 로 눈치 고 할 는 곳 자율 출퇴근 제 로 엄청난 워 라벨 을 느낄 는 곳 복지 역시 최고 의 수준 인 곳 재미있 는 이벤트 와 행사 아서 지루 은 곳,개발 기간 짧 을 는 조금 바쁜 곳 최근 어 급변 는 인사 제도,신규 사업 을 확실 게 밀어붙였으면 한다
1,3611,삼성전자,2019-12-01,개발,현직원,4,개발자 대우 으며 할 는 곳,사업 기반 안정 고 보너스 음 새로운 기술 과 사업 분야 를 경험 할 음,불 필요 보고 및 회의 고 부서 간 의 협력 에 에너지 소비 음 수직 문화 잔존 고 음,직원 의 불만 을 듣 지만 고 해결 해 었 으면 겠 음
3,3613,삼성전자,2019-12-01,인사/총무,현직원,4,글로벌 회사 시스템 선도 기업 다양 학습 과 경험 가능,연봉 주변 의 평가 복리 후생 근무 안정 성 우수 함,근무 강도 강하 고 성과 지향 경쟁 에 스트레스 심한 편 며 회사 커서 관료주의 는 편,관료주의 타파 합리 고 효율 인 실행 선진 근무 문화 에 관심 필요
4,3614,삼성전자,2019-12-01,기획/경영,현직원,3,대한민국 제 기업 답 게 뛰어난 경영 성과 창출 과 선진 기업 문화 도입 및 제도 혁신 시도 활발 게 이루어지 는 최고 의 회사 지만 그만큼 은 직장 냐는 질문 에 는 선뜻 맞 는다고 대답 기 어려움,삼성전자 는 대한민국 에서 이미 대체 할 는 상징 성 마저 생겨버린 엄청난 회사 파격 인 대우 를 기대 긴 어려워 도 모든 부분 의 대우 에서 대한민국 평균 이상 의 수준 을 보장 해준다,부서 별 문화 워낙 다양 해서 한마디 로 기업 의 단점 을 정의 기 는 어렵 지만 회서 규모 다 니 시대 흐름 에 맞춘 적절 변화 항상 느림 일부 부서 보여 기 식 도입 은 대한민국 에서 가장 빠름 과거 올드 패션 마인드 로 의 자리 까지 올라가 신 경영진 의 옛날 제조업 사고방식 은 어쩔 다,속도 와 단기성 과 위주 의 쪼이 기 문화 에서 벗어나 서 그인 호흡 을 갖 고 제품 하나하나 마스터 피스 될 는 문화 를 어 시 길
7,3617,삼성전자,2019-12-01,생산/제조,현직원,4,대 기업 답 게 확실히 문화 도 고 돈 도 많이 줘서 괜찮 습니다,부서 마다 다르 긴 한데 제 부서 는 연차 를 눈치 조금 긴 지만 자유 롭 게 쓸 도록 해 시 고 보너스 를 보다 많이 줘서 괜찮 습니다,제 그렇게 많이 다니 는 아서 아직 은 는 게 지만 단점 을 자면 안에 엄격 습니다 사내 에서 는 어 플로 카메라 도 게 니깐 요 그래도 그렇게 큰 단점 은 아닙니다,저 는 만족 면서 다니 고 습니다 그냥 이대로 만 유지 면 겠 네요
8,3618,삼성전자,2019-12-01,연구개발,현직원,3,남 다 아 는 기업 보다 주변 만족 함 사업 부 에 따른 편차 심하 고 내부 경쟁 과 소모품 취급 당함,자율 출퇴근 제 출퇴근 버스 의 우수 복지 시설 따로 설명 아도 아 는 기업,내부 경쟁 정치 심함 부서 직무 에 따라 전문 지식 습득 차이 음 회사 사업 부 부서 별 차이 너무 심함 불 합리 시스템 음,각자 전문 인 업무 에 집중 할 는 여건 환경 필요 며 장기 으로 바라볼 는 개발 및 준비 필요 함
11,3621,삼성전자,2019-12-01,기획/경영,현직원,5,다양 경험 을 쌓 을 고 복지 혜택 우수 며 로열티 를 고 근무 할 음,다양 경험 을 쌓 릏 고 복지 혜택 우수 며 로열티 를 고 근무 할 음,업무 의 강도 높 은 편 며 책임 감 도 무겁 게 어 기 에 스트레스 높 음 그럴지라도 지나 면 업무 전문가 될 기 에 는 음,큰 불만 음 큰 불만 음 큰 불만 앖음 음 음
16,3626,삼성전자,2019-12-01,개발,현직원,5,음 삼성전자 라면 곳 에 취직 한다는 만 으로 주변 평판 음,음 연봉 도 기업 보다 많이 고 자율 근무 제 면서 편해 기 도 했 고 이외 기업 문화 음,팀 을 무엇 보다 도 절 만나 다 함 킴 을 만나 면 나머지 근무 기간 행복 할 지만 팀 을 잘못 만나 면 헬 조선 시작 된다,신입 사원 에게 음 결정 권 을 셨 으면 겠 습니다 창의 인 인재 를 발굴 해 세요
17,3627,삼성전자,2019-12-01,개발,현직원,3,임직원 에 대한 배려 부족 기업 그대로 부품,각종 복지 와 사내 식당 피트 니스 어 다 실적 은 pi ps 나온다,팀 파트 에서 경쟁 인 분위기 야근 강요 SW 개발 에 대한 배려 음,로 만 software 를 중시 한다고 고 실제로 개발 환경 에 대한 지원 및 배려 를 해 시 기 바랍니다
19,3629,삼성전자,2019-12-01,연구개발,현직원,4,무난 직장 에 따라 지루 할 도 편안 할 도 는,연봉 비교 상위 네임 밸류 외국인 도 아 는 큰 회사 요즘 엔 밥 도 는 듯 고,많이 나아지 긴 했 지만 낀 세대 한테 최악 인 회사 분위기 윗사람 한마디 에 걸으며 휴대폰 기 를 전사 캠페인 돌리 는 긴 했 지만 담배 피우 라고 도 했었 고 현재 건강 검진 혈액 검사 반영 그런데 어떻게 다니 겠 지만 직원 다 착해서 참고 다님,다르 면 의견 을 제시 할 는 문화 를 어떻게 으면 을지 요 실수 에 따른 대미지 는 위아래 너무 다르 니까요
20,3630,삼성전자,2019-12-01,연구개발,현직원,4,세계 반도체 위 를 다투 는 회사 산업 에 비해 경기 흐름 을 타 는 듯 함,선택 근무 제 로 출퇴근 자유 롭 다 물론 부바 부일 확률 도 지만 밥 맛있 다 하루 세끼 먹 다 면 그래도 루틴 정해져 어 약간 질리 긴 함,기업 에 비해 회사 에서 여름 겨울 에 는 휴가 음 아 쉬 고 다 부부 부 지만 만 는 부서 넘 어서 제외 넘 는 부서 다양 듯,아 쉬 고 다 하계휴가 며칠 동계 휴가 며칠 제도 복지 생겼으면 겠 다
24,3634,삼성전자,2019-12-01,연구개발,현직원,3,연봉 에 만족 며 지낼 으나 거대 시스템 주어진 역할 한정 임,회사 글로벌 문화 를 선도 고자 는 의지 높 음 시스템 조직 으로 갖추 어 져 어 국가 의 근로 정책 을 따름,경쟁 기반 평가 로 인한 부서 간 및 부서원 간 경쟁 심화 로 인해 협력 을 통해 의 큰 목표 를 달성 는 어려움,조직 으로 조직 문화 및 기술 의 글로벌 선도 화 를 꾀하 고자 지만 실패 를 두려워하 는 고유 의 특성 강함
25,3635,삼성전자,2019-12-01,연구개발,현직원,4,고 는 보다 는 괜찮 은 곳 나름 나라 에서 선진 기업 문화 를 갖 고 고 직원 복지 에 신경 을 많이 쓰 는 회사,자율 출퇴근 제 직군 케 바케 긴 지만 연구 개발 직 기준 여기 다니 다가 회사 면 적응 할 을까 걱정 될 로 자유 로움 연차 강제 사용 해야 됨 휴가 는 바쁘 은 선 에서 맘껏 사용 가능,이것 도 는 따라 다르 긴 한데 너무 조직 의 변화 심하 다 이름값 에 비해 성과급 을 제외 면 특별 날 는 급여,그래도 나라 에서 손꼽 을 만큼 은 회사 라고 합니다 으로 도 직원 의 위크 앤 라이프 밸런스 를 신경 써 시 면 다 열심히 오랫동안 할 겁니다
26,3636,삼성전자,2019-12-01,개발,현직원,4,상위 권 연봉 과 뛰어난 복지 관리 의 삼성 라는 에 걸맞 게 교육 기회 도 고 직원 개개인 의 특성 을 어느 고려 해 줌,명실상부 위기 자율 출퇴근 과 높 은 연봉 자부심 을 고 다닐 음,높 은 근무 강도 사업 부 에 따라 팀 에 따라 부서 분위기 천차만별,바라 는 은 특별히 으나 보너스 를 통해 직원 박탈감 을 느끼 는 상황 은 피해야 을까 음
27,3637,삼성전자,2019-12-01,생산/제조,현직원,4,메모리 제조 센터 기술 팀 설비 엔지니어 로서 스마트 시스템 으로 단순 막노동 반복 는 업무,식비 절약 체계 화 된 통근 버스 다양 프로그램 활용,단순 반복 작업 쥐어짜 기 식 업무 인원 부족 으로 인한 주말 보장 는 교대 근무,제조 센터 의 핵심 은 기술 팀 라고 합니다 제조 팀 인원 을 줄이 고 기술 팀 인원 늘려 세요 제조 센터 인원 너무 부족 합니다 인원 늘려서 주말 보장 는 삶 을 어 세요 근로자 의 환경 안전 을 신경 쓰 는 척 허례허식 만 가득 부서 왜 필요 한지 만 해 세요
28,3638,삼성전자,2019-12-01,개발,현직원,4,글로벌 기업 답 게 다양 프로젝트 와 시장 변화 를 경험 할 음 반면 통제 고 폐쇄 인 개발 환경 으로 인해 보수 인 면 다분 함,거대 고객 규모 의 서비스 개발 및 운영 을 경험 할 다,변화 와 리스크 에 소극 다 회사 의 운영 목표 임직원 에게 투명 게 공유 는다,회사 의 목표 와 이익 임직원 과 함께 투명 게 공유 길 바란다
29,3639,삼성전자,2019-12-01,엔지니어링,현직원,4,회사 워낙 넓 어서 부서 마다 천차만별 본인 던 부서 는 동기 에 비해 편한 부서 였으나 동기 은 힘든 부서 도 들어감 하지만 상대 으로 편한 뿐 는 만큼 시킨다 돈 은 확실히 많이 줌,삼 시 세끼 무료 기숙사 최대 인가 만 경기 서울 지역 어디 든 쉽 게 다닐 는 버스 지원 밖 에 도 은 복지 와 최대 복지 은 페이,사기업 라 틈틈이 원가 절감 을 위한 개선 방 고서 작성 은 기본 돈 는 만큼 는 근무 강도,딱히 바라 는 은 지만 로 만 부서 은 만큼 도태 는 부서 없이 모두 신경 써 줬 으면
33,3643,삼성전자,2019-12-01,마케팅/시장조사,현직원,3,대한민국 에서 가장 큰 회사 에 걸맞 은 대우 를 해 마케팅 측면 에서 볼 땐 많이 뒤떨어진 회사 제대로 된 마케팅 에 대한 니즈 철학 부족 회사,기본 인 복리 직원 에 대한 지원 은 어 는 편 고 지속 으로 새로운 요구 에 맞춰 개선 해 려는 모습 을 는 은 매우 긍정 대표 기업 다 니 정부 추진 는 모든 근로 관련 지켜야 할 사항 을 거의 찻 빠 따 로 바로 시행 는 강제 모범 업체,마케팅 부서 에 만 어 니 편향 라고 할 도 겠 으나 마케팅 차원 에선 회사 규모 에 한참 못 미치 는 회사 뭘 왜 어떻게 해야 는지 어떤 마케팅 자산 을 고 쌓 아 야 는지 치 을 내다보 는 땜질 마케팅 만 한다,전문가 를 못 키울 은 분야 에 외부 임원 을 드린다고 해결 는 게 면 수많 은 소위 해외 인재 급 임원 왜 다 빨리 나가 는지 고민 제대로 해 볼 한참 지난 듯 회사 의 중책 에 다면 멀리 내다보 는 고위 관리자 길
35,3645,삼성전자,2019-12-01,마케팅/시장조사,현직원,4,워 라벨 보장 고 조직 커서 대충 묻 어 기 음,조직 커서 대충 묻 어 기 음 워 라벨 고 연봉 셈,똑똑 은 다 나가 고 멍청 꼰대 만 남 아서 부장 이상 은 핵 노 답 임 국내 이직 기 엔 커리어 어중간 함,단기 인 성과 에 만 목 메지 고 미래 투자 인력 운영 제대로 했 으면 겠 다
37,3647,삼성전자,2019-12-01,영업/제휴,현직원,4,나라 에서 라는 건 철저히 한다,사 화 의 변화 를 주도 는 기업 라는 이미지 에 문화 제도 음,윗사람 은 억지로 문화 를 따라가 는 제도 는 아 졌으나 눈치 는 봐야 함,삼성 은 옛날 삼성 다 기업 문화 위상 모두 과거 는 잊 고 만 봐 길
38,3648,삼성전자,2019-12-01,연구개발,현직원,5,국내 시가 총액 위 및 세계 위제품 다수 보유 혁신 기업 며 미래 에 필요 기술 선도 기업,부품 에서부터 소비자 제품 까지 다양 제품 및 사업 을 다루 기 에 다양 경력 개발 에 장점 으며 교육 및 글로벌 경험 을 쌓 기 에 유리 함,뛰어난 인재 아 경쟁 치열 함 복지 및 급여 우수 며 최근 업무 와 삶 의 균형 을 유지 려는 노력 보임,개선 려고 노력 고 지만 수직 인 조직 문화 는 여전히 존재 함 조직 의 일사 문란 함 에 효율 성 을 극대 화 기 보다 개인 의 개성 을 살리 는 혁신 필요 함
39,3649,삼성전자,2019-12-01,개발,현직원,4,삼성전자 에서 는 워 라벨 도 지킬 고 높 은 연봉 을 을 습니다,자 출제 정착 돼서 늦 게 출근 가능 지각 음 연차 사용 자유 로움 높 은 연봉,성과급 낮 게 면 연봉 뚝 떨어짐 연차 개수 타 대 기업 에 비해 다,경영진 직원 의 요구 에 귀 를 기울였 으면 겠 습니다
46,3656,삼성전자,2019-12-01,마케팅/시장조사,현직원,5,복지 최고 대우 성과급 면 최고 문화 도 마케팅 직군 한정 최고 인 듯,출퇴근 자유 자유 롭 게 의견 낼 는 분위기 성과급 빵빵,글로벌 본사 다 니 소비자 에게 직접 으로 전달 는 material 을 기 보다 는 법인 에 전달 는 가이드 를 만드 는 편,젊 은 직원 의 참신 아이디어 을 자주 반영 해 길
49,3659,삼성전자,2019-12-01,기획/경영,현직원,5,삼성 간성 라는 얘기 는 진리 입니다,삼성 은 직원 복지 를 위해 항상 힘쓰 고 직원 을 위해 힘쓰 는 기업 입니다 직원 을 위해 힘 쓴다 연봉,부서 에 따라 업무 강도 다릅니다 칼 퇴 는 개꿀 부서 는 반면 맨날 야근 는 부서 도 음,상한가 가즈야 인센티브 많이 시 면 겠 습니다
50,3660,삼성전자,2019-12-01,연구개발,현직원,3,우량 기업 으로 복지 고 근무 환경 음 식사 운동,우량 기업 으로 복지 고 신용 대출 시 없이 바로 진행,순차 으로 진급 아닌 고과 와 추천 진급 라 경쟁 치열 네임 밸류 대비 연봉 낮 음,인사 체계 자주 바뀌 며 시스템 또한 마찬가지 공정 인사 체계 필요
52,3662,삼성전자,2019-12-01,개발,현직원,4,그대로 대 기업 큰 기업 에서 게 쪼개 진 을 고 는 느낌 지만 복지 는 다고 느껴진다,기업 문화 발 빠르 게 아 고 다는 느껴집니다 적성 에 맞 게 업무 옮길 기회 자유 롭 습니다 배울 기회 도 많이 어 집니다,가끔 워라 밸 습니다 업무 특성 상 일지 도 너무 큰 기업 라 게 쪼개 진 을 다 니 다양 게 역량 발전 게 는 기 도 다,Ps 챙겨 기 분 배 해 기 외 엔 겠 음 너무 먼 이야기 라고
53,3663,삼성전자,2019-12-01,전문직,현직원,5,일반 사무직 의 업무 강도 를 잊 게 할 의 복지 갖춰 줘 으며 국내 제 의 대 기업 라는 네임 밸류 에 맞 게 할 음,연차 사용 자유 롭 고 자율 출퇴근 제 도입 어 으며 복지 수준 매우 높 다,퇴직 못한 만년 과장 기 에 신입 에게 업무 몰릴 고 놀 며 돈 버 는 모습 을 지켜봐야 한다 미래 의 모습 처럼 기 위해서 는 경쟁 매우 치열 다,오래 된 기업 인 만큼 기존 에 구축 된 이미지 를 유지 고자 려는 게 아 다 으로 혁신 고 투명 경영 필요 할
54,3664,삼성전자,2019-12-01,연구개발,현직원,4,업무 인 측면 에서 는 반도체 관련 전공 자 다니 기에 이만 회사 다,나라 최고 기업 을 다닌다는 자부심 회식 도 은 편 밥 삼 시 세끼 제공 및 맛 도 는 편 업계 최고 대우 자율 출퇴근 제 부마부 강함,업무 에 자유 로울 는 날 거의 음 전화 로 도 업무 많이 봄 주말 출근 잦 음 시프트 근무 음 연구 개발 도 당직 개념 으로 존재 함 회사 에서 는 라고 지만 여전히 문화 은 곳 음,겉 으로 는 시행 는 척 지만 내부 로 는 사내 규정 준수 어 은 곳 으니 제대로 봤 으면
56,3666,삼성전자,2019-12-01,연구개발,현직원,4,회사 를 다녀 본 건 지만 이만 회사 는 을 다,아무래도 대외 인 이미지 어서 최대한 선진 인 제도 을 도입 려고 노력 는 게 보인다,에 출퇴근 고 생활 는 게 고단 다 박사 라서 기숙사 도 갈 어서 주거 에 대한 부담 도 존재 한다,을 줄여 달 라거나 은 바라 고 에 대한 보상 만 확실히 해 면 불만 을 다
58,3668,삼성전자,2019-12-01,연구개발,현직원,4,개발자 대우 돈 많이 으면서 다닐 지만 업무 강도 는 셈,연차 를 눈치 볼 필요 고 자율 출퇴근 제도 도 정착 어서 음,야근 아서 늦 게 들어가 는 종종 음 긴박 게 처리 해야 할 도 많이 생김,선행 개발 기술 보다 는 돈 는 제품 개발 에 힘쓰 는 거 음
60,3670,삼성전자,2019-12-01,기획/경영,현직원,3,근무 기 무난 직장 입니다 괜찮 습니다,윗분 눈치 를 고 근무 할 는 장점 습니다 그냥 다니 는데 자부심 을 는 됩니다,거리 멀 어서 출퇴근 기 불편 합니다 서울 기준 으로 말씀 드립니다,조금 신입 직원 을 열정 으로 할 는 사내 문화 를 어 세요
63,3673,삼성전자,2019-12-01,기획/경영,현직원,5,직장인 라면 누구 원하 는 곳 아닌가 다 정말 기회 고 은 도움 된다 하지만 무한 경쟁 을 해야 한다,복리 후생비 많이 지출 고 공부 할 기회 도 다 복지 수준 다,만큼 돈 을 많이 는데 자꾸 주위 에서 물 어 는 단점 다 지만 그래도 돈 많이 는 다,경영진 법 을 지켜서 감옥 에 갔 으면 는 바람 다 언론 에 고 뉴스 에 는 게 회사 에 도움
68,3678,삼성전자,2019-12-01,엔지니어링,현직원,2,힘들 지만 여기 면 어디 어서 그만두 고 은 마음 참 아 진다,밥 맛있 고 복지 는 아서 돈 쓸 별로 는데 돈 쓸 도 다,너무 은데 반도체 제조 특성 상 주말 근무 는 필수 겉보기 에 는 지만 실제로 실현 기 힘든 복지 다 지만 실상 은 부마부,겉 보여 기 식 으로 복지 만 자랑 고 구석구석 시행 확인 해라
70,3680,삼성전자,2019-12-01,연구개발,현직원,4,한국 위 기업 으로 글로벌 회사 에서 한다는 자부심 을 가질 다,업계 위 유지 성과급 나올 시 높 은 연봉 적당 복지,업 황 에 따라 수시로 바뀌 는 성과급 낮 은 기본급 경직 된 조직 문화,성과급 체계 를 투명 게 공개 했 으면 겠 음 점점 줄어드 는 복지 를 직원 의견 을 어서 반영 면 겠 음
71,3681,삼성전자,2019-12-01,개발,현직원,1,긴 한데 힘드 네요 항상 무리 목표 설정 에 여유 네요,연봉 최고 는 지만 높 은 편 고 큰 회사 여서 자 부감 은 어요 꼰대 문화 는 대 기업 대비 는 거 아요,사업 부 간 보너스 차이 심해요 직원 간 경쟁 심해요,임원 mbo 는 누굴 위한 인가요 근속 연수 높 아 고는 지만 아직 부족 합니다
76,3686,삼성전자,2019-12-01,생산/제조,현직원,4,자유 로운 근무 환경 열린 사고 를 는 모인 집단,연차 를 윗사람 눈치 고 쓸 음 단 부서 마다 다르 겠 지만,성과 주위 의 분위기 성과 는 은 처럼 여기 음,수명 업무 도 업무 로 인정 해 었 으면 한다
78,3688,삼성전자,2019-12-01,개발,현직원,3,대한민국 최고 기업 돈 도 많이 고 복지 도 고 분위기 도 자유 롭 고 지만 그만큼 고 힘들 다,자율 출퇴근 복장 자율 기타 복지 연봉 자유 로운 분위기,고 힘들 다 하루 은 기본 으로 회사 에 는 듯,딱히 바라 는 건 고 근무 줄이 게 인력 많이 면 겠 음
79,3689,삼성전자,2019-12-01,마케팅/시장조사,현직원,4,보다 직원 복지 은 편 다 사내 병원 어린이집 자기 개발 클래스 업무 외 에 도 도움 는 시설 어 다,시스템 어 다 조직 워낙 커서 내부 에서 움직이 면서 다양 업무 를 볼 는 장점 다,Depth 보다 는 width 로 업무 를 배우 는 체계 므로 실무 의 expertise 깊 어 기 에 는 제한 음,성과 베이스 인사 제도 필요 연차 로 올라가 는 제도 는 필히 재 감토 필요
80,3690,삼성전자,2019-12-01,연구개발,현직원,4,삼성전자 이제 는 타이틀 에 대해서 누군가 에게 설명 는 자체 대단히 웃긴 수준 의 글로벌 기업 고 누군가 에게 는 충분 기회 의 땅 다 지만 그만큼 경쟁 도 치열 은 분명 듯,다양 기업 을 경험 해 본 게 라 회사 에 비해서 다고 이야기 는 자체 어불성설 지만 주변 의 이야기 를 종합 해 면 확실히 연봉 및 복지 는 은 편 인 듯 물론 부마부 팀 바 팀 사바 사 는 진리 다 삼성 맨 라는 타이틀 은 충분히 매력 다 어디 까지 는 에게 만큼 은,다는 게 장점 자 단점 인 음 입사 기 전 가졌 던 풍운 의 꿈 희미 해 고 회사 에 꼭 필요 존재 인가 은 질문 을 매일 매일 끊임없이 반복 는 듯 함 대단 스펙 혹은 능력 의 동기 을 면서 박탈감 이나 열등 감 도 게 는 게 스트레스,개인 으로 회사 를 오래 다닌 입장 은 라서 뭐 대단히 바라 는 은 건 다 오히려 회사 자체 에 는 만족 지만 스스로 의 거나 주변 과 의 관계 에 라고 해서
81,3691,삼성전자,2019-12-01,엔지니어링,현직원,3,만큼 연봉 은 확실히 보장 는 곳 지만 삶 다,기업 문화 는 다 외부 눈치 를 많이 기 에 각종 사건 사고 일어나 면 얄짤없 음 장점 자 단점,직무 발전 가능 성 다 유지 보수 만 고 개발 을 려야 할 다 신입 는 도저히 불가 고 짬 차야 겨우 무언가 할 듯 듯 다 회의감 온다,불 필요 활동 고 임직원 을 위한 활동 을 라 보여 기 식 이벤트 로 는 성과 도 임직원 의 충성 도 얻 을 다
83,3693,삼성전자,2019-12-01,기획/경영,현직원,5,대한민국 기업 을 대표 는 혁신 기업 최고 의 제품 을 고 글로벌 사업 을 이끌 어 간다는 자부심 전직 군 에 걸쳐서 강함,눈치 는 조직 문화 여성 인력 비중 높 고 젊 은 기업 업무 문화 도 성과 중심 눈치 며 야근 는 문화 는 거의 음 개발 인력 에 대한 업무 강도 조정 도 상당 수준 향상,담당 업무 의 책임 감 막중 금액 수량 면 에서 여 실수 를 기 위해 노력 는 분위기 심함 각 분야 최고 수준 동료 와 경쟁 는 분위기 살벌 함 게으르 거나 능력 으면 월급 루팡 을 음 특히 갤럭시 성공 이후 입사 세대 는 국내외 최고 수준 인력 으로 구성 어 상호 경쟁 는 분위기 음 자연히 연공서열 중심 조직 구조 를 경험 했 던 선배 은 자연 스럽 게 실력 에 따라서 도태 기 도 함,사업 성과 에 따라 국내 대 기업 최고 수준 보상 을 고 지만 미국 기업 과 유사 게 고성 과자 A 급 인력 에 대한 보상 체계 를 더욱 상향 여 보완 할 필요 음 파격 인 대우 를 고 직 을 는 경향 아 고 음
85,3695,삼성전자,2019-12-01,디자인,현직원,4,글로벌 제조 기업 에서 할 는 경험 을 할 고 연봉 도 보너스 나온다 가정 면 높 은 편 임,자율 출퇴근 제 의 근무 여건 의 업무 제품 서비스 에 직접 으로 영향 을 고 소비자 에게 까지 전달 는 모습 을 는 의 뿌듯 함 도 느낄 음,출발 제조 기업 라 그런지 아직 도 서비스 및 sw 마인드 부족 다고 느껴짐 모두 고 노력 은 고 다 체감 는 변화 는 음,제조 기업 마인드 의 강점 은 유지 면서 서비스 및 sw 기업 으로 의 방향 전환 심각 게 고려 어야 함
87,3697,삼성전자,2019-12-01,엔지니어링,현직원,5,이제 신입 사원 으로 들어가 는 들어가 기 전 부터 기대 됩니다,대졸 초봉 세 고 보너스 세기 에 돈 걱정 해도 고 프라이드 생깁니다,경쟁 구도 심해서 버틸 을지 의문 입니다만 사 는 게 다 거 겠 습니까,꾸준 기술 연구 를 통해 초 격차 를 꾸준히 이뤄 나갔으면 합니다
89,3699,삼성전자,2019-12-01,생산관리/품질관리,현직원,4,다양 을 만날 었 고 기업 에 대한 이해 를 목표 로 갔 지만 특정 업무 에 관한 지식 만 얻 을 었 습니다,식대 제공 인턴 직 라 그런지 무거운 분위기 에서 도 어느 자유 로운 분위기 를 어 셨 고 외 에 도 게 어려움 는 환경 었 습니다,퇴근 종종 늦 어 질 도 지만 게 는 선 에서 했 고 업무 에 조금 깊이 고 었 는데 깊이 는 이해 배움 은 힘 듦,신규 채용 및 인턴 채용 또는 대학생 경험 할 는 기업 에 관한 프로그램 을 확대 해 셨 으면 합니다
90,3700,삼성전자,2019-12-01,생산/제조,현직원,4,대 기업 답 게 편의 시설 이나 본인 업무 관련 이나 외국어 교육 의 기회 다,자율 출퇴근 제 근무 로 약속 는 날 빠른 퇴근 과 아픈 날 늦 은 출근 가능 사내 에 교육 프로그램 으며 카페 마트 헬스 장 편의 시설 음,매우 세세 게 나눠진 업무 프로세스 는 LAN 선 를 깔 고 인터넷 기 까지 개 부서 에 연락 해서 진행 해야 는 불편 함,익명 게시판 에 올라오 는 글 에 는 현재 불 합리 회사 에 바라 는 많이 올라옵니다 사 측 에서 은 글 만 관심 고 글 에 도 관심 을 가져 셨 으면 겠 습니다
92,3702,삼성전자,2019-12-01,생산/제조,현직원,3,조직 마다 케 바케 다 은 조직 은 의 능력 과 열정 만 다면 엔드 투 엔드 를 다 개발 해 볼 다 그렇지만 아닌데 도 은 다,조직 문화 점점 게 변하 고 다 그래서 으로 도 발전 할 가능 성 는 기업 라고 한다,큰 조직 어서 조직 문화 변하 는데 오래 걸리 는 다,걸리 더라도 은 조직 문화 를 정착 는 심혈 을 기울여 시 고 은 기업 으로 리드 해 십시오
94,3704,삼성전자,2019-12-01,생산/제조,현직원,4,정말 어마어마 대 기업 할 만 다면 최고 될 는 곳 돈 은 넉넉 게 고 떼 는 도 음,노력 한다면 어떤 기회 든 음 단지 기회 를 잡 을 는 시기 운 주변 은 복불복,은 항상 아서 을 끝냈 다는 느낌 을 기 는 힘 듦 젊 은 아서 대체 으로 분위기 는 젊 지만 가끔 젊 은 꼰대 음,회사 의 구성 은 직원 고 구성원 의 뜻 결국 회사 의 뜻 어야 는데 경영진 의 뜻 회사 의 뜻 어 버림
95,3705,삼성전자,2019-12-01,생산/제조,현직원,4,업계 최고 기술력 는 회사 와 능력 는 과 해 볼 다,복지 고 자율 출퇴근 제 활용 가능 다 은 과 할 다,아무래도 진급 자 위주 의 인사 평가 이루어질 가능 성 높 다 영업 이익 에 비해서 은 연봉 은 다 PS 로 먹 고 사 는 회사,업무 성과 에 따른 개개인 에 대한 보상 을 금전 으로 해 면 직원 더욱 신나 게 할 는 환경 될 습니다
97,3707,삼성전자,2019-12-01,연구개발,현직원,3,돈 는 곳 으로 그거 는 네요,으로 바뀌 며 만 곳 바보 맛있 는 곧 퇴근 이후 근무 히 는 곳,포괄 임금제 정말 손 봐야죠 나서 서 은 거 는 는 듯 해요,피에스 주세요 정년 까지 고 어요 월급 루 팡 아요
98,3708,삼성전자,2019-12-01,연구개발,현직원,4,초년생 으로서 첫 시작 기 에 나쁘 은 곳 다,나쁘 은 연봉 자율 출퇴근 제 직원 에게 제공 는 질 은 교육,제조 회사 기에 IT 직군 에게 그리 은지 겠 다 재탁 근무 고 지만 불 가능 노트북 고 다닐 다,재택근무 게 해 시 고 엔지니어 연봉 올려 세요 최소 세배 는 줍시다 보너스 도요
104,3714,삼성전자,2019-12-01,생산관리/품질관리,현직원,3,저런 사내 업무 시스템 체계 으로 갖춰 짐 정말 그대로 대 기업 을 느낄 음 고과 진급 에 대한 경쟁 Or 스트레스 심함,맛있 는 밥 공짜 통근 버스 다양 노선 으로 갖춰 짐 주기 건강 검 진 고 는 그다지,피에스 나온다면 정말 낮 은 연봉 여름휴가 음 그래서 휴가 적음 노조 으니 중요 사항 관련 해서 는 그냥 회사 에서 통 보임,블라인드 라이브 톡 에서 자주자주 는 불만 사항 에 대해서 는 적어도 소통 는 자세 라도 보여 줬 으면
105,3715,삼성전자,2019-12-01,개발,현직원,5,복지 음 SW 직무 특성 을 이해 고 제조업 과 조화 기 위해 여러 시도 를 함,연차 를 상대 으로 자유 롭 게 쓸 고 복지 음 업무 를 깊이 게 수행 할 고 은 을 만나 볼 음,업무 를 한두 깊이 게 수행 할 지만 반대 로 한두 만 게 고 전문 성 은 생기 지만 본인 업무 이외 의 업무 에 대한 경험 을 쌓 기 제한 적임,제조 업체 에서 SW 개발자 업무 를 수행 는 어 한계 기 에 마냥 창의 인 업무 수행 보다 는 주어진 조건 에서 업무 를 수행 할 도록 가이드 었 으면 함
