,Unnamed: 0,회사,날짜,직무,재직여부,별점,요약,장점,단점,경영진에게 바라는 점
3230,9519,현대자동차,2019-03-01,기획/경영,현직원,3,비즈니스 전략 공유 는 곳 자 구성원 의 학습 의 는 곳,다양 직무 를 경험 할 는 대 기업 며 향후 발전 가능 성 는 곳,보고 를 위한 보고 책임 회피 를 위한 보고 쌍방향 소통 부족 곳,비즈니스 전략 을 명확히 짜 고 전사 으로 공유 할
3231,9520,현대자동차,2019-03-01,생산/제조,현직원,3,복지 고 여러 경험 을 해 볼 다 국내 넘버원 자동차 업종 글로벌 을 접할 는 은 여건,장점 습니다 실력 는 가족 은 인간 관계 타 사 서 해 버 기 쉽 은 경험,비합리 인 인사 제도 사내 정치 차별 보수 임 남녀 차별,변화 고 는 체감 지만 이미 고 는 아이덴티티 는 버리 았 으면 겠 습니다
3235,9524,현대자동차,2019-03-01,연구개발,현직원,4,R D 투자 를 적극 으로 는 편 규모 큰 기업 니 만큼 전반 인 측면 에선 만족 할 만 수준,R D 투자 를 적극 으로 는 편 급여 복지 수준 은 대 기업 에서 만족 할 만 수준 최근 워라 밸 에 도 신경 을 씀,규모 에 비해 기업 소통 협업 부족 성과 에 따른 급여 차이 는 음,진취 으로 을 진행 였으면 함 현 상황 에서 는 본인 수명 늘리 기 에 초점 맞춰 는 한계 으면 대 기업 도 어느 비슷 겠 지만
3236,9525,현대자동차,2019-03-01,연구개발,현직원,5,국내 유일 의 완성 차 업체 로 자동차 시장 의 전체 구조 를 볼 음,국내 에서 자동차 관련 회사 보다 넓 은 시야 를 가질 고 협 력사 의 업무 를 컨트롤 면서 완성 차 개발 을 주도 할 음 연월 차 사용 도 자유 롭 고 복지 는 탄탄 며 자동차 개발 과 관련 여 고 었 던 을 할 는 장점 음,아직 까지 수직 인 문화 와 시대 변화 에 적응 못한 나이 드신 분 기 는 함 지만 최근 회사 에서 도 이러 문제점 을 고려 나가 기 위해 적극 으로 움직이 면서 눈 에 게 아 고 음 남양 연구소 은 너무나 도 긴 출퇴근 을 허비 고 음,남양 연구소 출퇴근 길 확장 및 개선 절실히 필요 함 최근 능력 는 인재 은 서울 에 최대한 가까운 곳 에 는 직장 을 선호 는 위기 의식 을 느껴야 한다고 함
3237,9526,현대자동차,2019-03-01,생산관리/품질관리,현직원,3,커리어 역량 개발 에 집중 할 게 지원 해 는 은 문화 를 갖 고 음 부서 별 케 바케 지만 꼰대 득실,준수 노조 존재 기 에 역량 강화 지원 제조 분야 로 은 경험 을 쌓 을 음,꼰대 정말 음 즉 보수 인 문화 자리 잡 고 음 부서 별 케 바케 겠 지만,사원 에 대한 애사심 을 더욱 높일 방안 을 늘 해 었 으면 함
3243,9532,현대자동차,2019-03-01,기획/경영,현직원,4,전형 인 대 기업 문화 삼 성과 는 다르 게 시스템 은 허술 지만 류 기업 마인드,가족 은 기업 문화 시스템 아닌 에 의해 운영 는 나름 의 정,시스템 너무 허술 여 가끔 씩 곤욕 에 빠짐 자동차 산업 자체 어려운 시기 라 급여 오르 질 으면 줄지 아 다행 경영진 은 우수 중간 고위급 관리자 의 마인드 아직 도 연대,젊 은 직원 의 의견 을 보다 신뢰 는 문화 필요 임원 의 의식 개선 급 함 전 과목 다 려는 자세 선택 과 집중 정신 필요
3245,9534,현대자동차,2019-03-01,연구개발,현직원,4,국내 최대 자동차 기업 의 연구소 로서 다양 경험 과 도전 을 할 다,노조 의 힘 으로 상대 으로 워 라벨 보장 는 편 주말 출근 거의 고 연구소 기준 퇴근 도 셔틀 에 맞 게 일정 다,공장 의 비합리 인 요구 사항 으로 불 필요 업무 증대 은 변화 시도 고 으나 아직 까지 상명하복 의 분위기 남 아 기 는 함,개인 의 미래 보다 회사 의 미래 를 고 개개인 도 전문 성 필요 다고 됨
3248,9537,현대자동차,2019-03-01,연구개발,현직원,3,사기 업계 의 공기업 인 느낌 연봉 높 은데 성과 압박 낮 아 나름 만족 고 다니 기 은 회사 네임 밸류 도 높 다 지만 문화 개선 필요 며 실적 부진 해 내부 분위기 다,초봉 높 은 편 며 평가 심하 은 회사 라 성과 에 연연 고 마음 편하 게 다니 기 음 유명 꼰대 문화 도 점점 바뀌 는,팀부 팀 정말 강한 회사 팀 분위기 에 따라 야근 잦 거나 업무 스트레스 심할 음 정년 어느 보장 는 회사 기 에 그만큼 고인 물 다 산업 의 특성 상 의사 결정 느린 편 노조 에 은 면 도 으나 회사 에 는 겪 을 도 겪 음,문화 개선 에 적극 으로 나섰 으면 며 빠른 의사 결정 필요 시점 라고 된다
3251,9540,현대자동차,2019-03-01,엔지니어링,현직원,3,이공 계열 학생 에겐 선망 의 대상 지만 현실 은 국내 기업 을 다녀 진 았 지만 이게 최선 일까 라는 질문 에 는 고개 기운 다 미래 시장 에 대한 경영 층 의 고민 실무자 에게 와 닿 는 시점 온다면 성장 가능 성 은 충분 다,국가 중추 산업 고용 창출 수출 에서 는 자부심 안정 감 세계 곳곳 에 는 법인 에서 쌓 는 경험 회사 라는 소속감 타 회사 에 비해 압도 인 휴일 대리 이하 한정,사기업 치 고 보장 된 고용 안정 성 로 인한 고 경력자 쏟아지 는 현시점 또한 노동조합 으로 인한 업무 장벽 너무 높 음 원만 관계 를 위해 끌려가 는 다 반사 엔지니어 의 의지 계산 아닌 정치 난무 는 업무 처리 방식,신사업 에 대한 다양 투자 와 실무자 에게 와 닿 는 업무 추진 해 셨 으면 겠 습니다
3254,9543,현대자동차,2019-03-01,엔지니어링,현직원,5,확실히 대 기업 라 은 만족 고 할 는 곳,정말 은 복지 혜택 지만 자동차 할인 은 참 큰 거 다 외 에 도 여러 대 기업 에서 해 는 복지 는 다 해준다,지만 굳이 뽑 자면 현대 자동차 를 타 야 한다는 남자 라면 차 에 관심 을 텐데 제한 니 그게 단점 라면 단점 인 듯 다,노사 합의 이루어지 면 겠 다 항상 은 뉴스 만 는 거 아서 마음 다
3255,9544,현대자동차,2019-02-01,영업/제휴,현직원,5,다 욕 지만 가장 들어가 고 은 기업 꼰대 문화 즐비 지만 정년 보장 비교적 는 편 다,위기 긴 지만 국가 기간 산업 으로써 망할 은 다고 함,매년 성과 금 줄어들 고 어 젊 은 층 의 이직 도 아 긴 했 음 나이 은 직원 아 꼰대 문화 음,책임 은 나눠서 져야 윗선 은 책임 을 고 직원 만 성과 금 깎이 며 뺑 치 는 느낌 진짜 혁신 을 이루 었 으면 겠 음 누워서 침 뱉 기 식 언론 플레이 자제 했 으면 함
3257,9546,현대자동차,2019-02-01,생산/제조,현직원,5,주말 일용직 인데 도 쉽 고 편하 고 초보 자 기 다 용돈 벌이 된다 작업 은 다소 지루 다,단순 고 쉬워서 초보 자 도 기 쉬움 정 직원 작업 내용 을 알려줌 정시 칼퇴근 가능 야간 도 늦 게 까지 고 시 에 퇴근,단순 작업 라 매우 고 지루 기 에 이어폰 을 챙겨 야 함 아침 에 다소 일찍 출근 해야 함 시정 도 담배 피우 는 아저씨 아서 냄새 남,일용직 시급 을 올려 줬 으면 겠 고 정규직 채용 의 문 을 넓혀 줬 으면 겠 다
3263,9552,현대자동차,2019-02-01,기획/경영,현직원,3,전체 으로 괜찮 은 기업 지만 상명하복 군대식 문화 고 및 업무 추진 의 비 효율 성 비 체계 업무 분담 방식 남 아 으며 과 삶 의 균형 사내 부문 별 로 상이 함,글로벌 기업 으로서 다양 이해 관계자 와 다양 업무 를 경험 할 으며 적절 수준 의 급여 및 복리 후생 장점,개선 에 지만 여전히 보고 를 위한 보고 으며 구두 또는 이메일 사안 의 경중 에 따라 보다 효율 인 보고 방식 음 에 도 불구 고 여전히 서면 에 의한 보고 를 선호 는 으로 됨,다양 업무 를 급박 게 처리 해야 는 상황 은 공감 지만 직원 개인 업무 전문 성 을 함양 기 어려운 구조 임 따라서 중요도 낮 은 사안 은 과감히 쳐낼 필요 으며 경영진 먼저 고 문화 개선 에 앞장서 야 함
3264,9553,현대자동차,2019-02-01,생산/제조,현직원,4,적당 노동 강 도 다소 짜증 는 교대 근무 지만 그걸 다 커버 는 연봉,업무 분위기 매우 다 자동차 제조 쪽 지만 다 위아래 에 대한 개념 게 고 은 환경 에서 근무 할 음,주말 에 특근 을 는 는데 를 면 눈 에 는 불 이익 은 지만 눈치 를 는 도 고 타 공장 으로 보내 버리 는 의 대우 다,게 바라 는 건 습니다 은 근무 환경 워 라벨 도 지켜 고 역시 대 기업 란 절로 나옴
3265,9554,현대자동차,2019-02-01,영업/제휴,현직원,3,전형 제조업 대 기업 회사 현장 과 사무직 차이 꽤 큼,회사 규모 니 직무 자체 엄청 음 국내 에서부터 전 세계 에 사업 부 으면 높 은 초봉,주니어 는 거의 기획 성 업무 를 경험 해 기 힘들 다 성과 금 비중 다 니 연봉 은 거의 변동 음,주니어 의 역량 을 발휘 할 는 사내 문화 와 인력 운영
3266,9555,현대자동차,2019-02-01,엔지니어링,현직원,3,기성 전 노조 는 현장 다스려 기 주요 업무,뒷심 부족 없이 어떤 착수 면 밀 고 는 힘 큼 대 기업 문화 고 복지 고 연봉 도 음,자동차 산업 의 큰 변화 에 발 맞 취 는 속도 다소 늦 음 남 는 거 고 는 경향 보임 내부 게 는 업무 시스템 환경 중소기업 시스템 수준 단조 롭 고 뭔가 계속 부족 함,정부 에 발맞춰 는 정책 너머 로 진정 미래 자동차 산업 의 중심 될 만 가치 에 투자 를 했 으면 고 이상 아슬 란 은 잡종 팔 아 눈앞 에 돈 만 벌려 고 각 공장 별 특장 살리 는 정책 필요 함
3269,9558,현대자동차,2019-02-01,생산관리/품질관리,현직원,3,업무 강도 낮 고 퇴근 비교 빠른 편 이나 업무 전문 성 걱정 된다,업무 강도 보다 낮 고 퇴근 빠르 다 근무 자유 롭 다,군대 문화 수직 체계 음 주말 연휴 출근 목소리 큰 이기 는 직무 전문 성 음 회 성 업무 술자리 모임 음,R R 명확히 사 인 모임 과 수직 분위기 의 술자리 지양 표준 과 체계 음
